osmid,road type,length,geometry
115625988,residential,897.1220000000001,"MULTILINESTRING ((104.0717593 30.6591712, 104.0717089 30.659097), (104.0717089 30.659097, 104.0717593 30.6591712), (104.0717089 30.659097, 104.0714113 30.6586616, 104.0708772 30.6579007, 104.0705385 30.6574171, 104.0708772 30.6579007, 104.0714113 30.6586616, 104.0717089 30.659097), (104.0720471 30.6595926, 104.0717593 30.6591712), (104.0717593 30.6591712, 104.0720471 30.6595926), (104.0720471 30.6595926, 104.0721253 30.659707), (104.0721253 30.659707, 104.0720471 30.6595926), (104.0724075 30.6601202, 104.0721253 30.659707), (104.0721253 30.659707, 104.0724075 30.6601202), (104.0725929 30.6603917, 104.0724075 30.6601202), (104.0724075 30.6601202, 104.0725929 30.6603917), (104.0725929 30.6603917, 104.0727607 30.660635), (104.0727607 30.660635, 104.0725929 30.6603917), (104.0727607 30.660635, 104.0728042 30.6607011, 104.0728155 30.660916, 104.0728042 30.6607011, 104.0727607 30.660635))"
439831609,secondary,655.876,"LINESTRING (104.0498175 30.6552314, 104.0499192 30.6552148, 104.0501887 30.6551344, 104.0504965 30.65504, 104.0508882 30.654897, 104.0512416 30.654736, 104.0514927 30.654589, 104.051766 30.6544068, 104.051963 30.6542485, 104.0523899 30.6538646, 104.053377 30.6527827, 104.053567 30.6525714, 104.0539014 30.6522671, 104.0547898 30.6515057, 104.0548804 30.6514269)"
459085944,secondary,118.69500000000001,"LINESTRING (104.0547898 30.6515057, 104.0544892 30.6511434, 104.0541323 30.6507133, 104.0540681 30.6506374)"
459085972,secondary,178.52100000000002,"LINESTRING (104.0547898 30.6515057, 104.0544892 30.6511434, 104.0541323 30.6507133, 104.0540681 30.6506374, 104.0536902 30.6502087)"
116428397,secondary,804.7030000000001,"LINESTRING (104.0581947 30.6568849, 104.0581566 30.6566223, 104.0580794 30.6564185, 104.057445 30.655267, 104.0568184 30.6541752, 104.0564115 30.6534662, 104.055434 30.6522866, 104.0549988 30.6517283, 104.054858 30.6515627, 104.0547898 30.6515057, 104.0544892 30.6511434, 104.0541323 30.6507133, 104.0540681 30.6506374)"
53104271,secondary,927.01,"LINESTRING (104.0499192 30.6552148, 104.0499609 30.6552756, 104.0501687 30.6555589, 104.0510046 30.6566985, 104.0511397 30.6568881, 104.0519213 30.6579544, 104.0523254 30.658517, 104.0523708 30.6585935, 104.0524305 30.6587062, 104.0524983 30.6588707, 104.0526037 30.6591571, 104.0527029 30.6594534, 104.0529832 30.6602872, 104.0530378 30.6604495, 104.0532046 30.6609633, 104.0532352 30.6610647, 104.0534608 30.6616933, 104.0536681 30.662238, 104.0538091 30.6626102, 104.0538656 30.6627508)"
834261714,secondary,656.996,"LINESTRING (104.0549521 30.6515024, 104.054858 30.6515627, 104.0544569 30.6519009, 104.0540286 30.6522589, 104.0537106 30.6525358, 104.0534669 30.65279, 104.0532634 30.6530068, 104.0525612 30.6537608, 104.0524483 30.653896, 104.0522442 30.6540855, 104.0519629 30.6543346, 104.0516851 30.6545411, 104.0513724 30.6547406, 104.0511282 30.6548703, 104.0507564 30.6550225, 104.0503019 30.6551772, 104.0502928 30.6551803, 104.0499609 30.6552756, 104.0498557 30.6552982)"
37129334,unclassified,1089.72,"MULTILINESTRING ((104.0445345 30.6550435, 104.0439284 30.656211, 104.0437245 30.656894, 104.0435137 30.6579084, 104.0434614 30.6585661, 104.0434602 30.6586966, 104.0434653 30.6588648, 104.0434602 30.6586966, 104.0434614 30.6585661, 104.0435137 30.6579084, 104.0437245 30.656894, 104.0439284 30.656211, 104.0445345 30.6550435), (104.0445345 30.6550435, 104.0449995 30.6542064, 104.0445345 30.6550435))"
37129305,secondary,96.03,"LINESTRING (104.0449995 30.6542064, 104.044898 30.6542061, 104.0442292 30.6542066, 104.0439956 30.6542059)"
37129306,secondary,600.105,"LINESTRING (104.0449995 30.6542064, 104.044898 30.6542061, 104.0442292 30.6542066, 104.0439956 30.6542059, 104.038726 30.6541916)"
37129303,secondary,594.4889999999999,"LINESTRING (104.0498175 30.6552314, 104.0497447 30.6551412, 104.0496542 30.6550314, 104.0495635 30.6549492, 104.049464 30.6548635, 104.0492633 30.6547228, 104.0490367 30.6545972, 104.04881 30.6544897, 104.0486151 30.6544287, 104.0480134 30.6542405, 104.0477478 30.6541944, 104.0470255 30.6542015, 104.0454222 30.654204, 104.0449995 30.6542064, 104.044898 30.6542061, 104.0442292 30.6542066, 104.0439956 30.6542059)"
363921393,primary,723.1650000000001,"LINESTRING (104.0387591 30.652956, 104.0387326 30.65409, 104.038726 30.6541916, 104.0386485 30.655487, 104.0385706 30.6576345, 104.0385487 30.6592109, 104.0385461 30.6594563)"
37129304,tertiary,1467.652,"MULTILINESTRING ((104.0385706 30.6576345, 104.0392641 30.6576546), (104.0392641 30.6576546, 104.0385706 30.6576345), (104.0385706 30.6576345, 104.0384399 30.6576334, 104.0385706 30.6576345), (104.0430271 30.656271, 104.0425872 30.6567048, 104.0409405 30.6574763, 104.0401196 30.6576901, 104.0392641 30.6576546), (104.0392641 30.6576546, 104.0401196 30.6576901, 104.0409405 30.6574763, 104.0425872 30.6567048, 104.0430271 30.656271), (104.0430271 30.656271, 104.0434673 30.6553353), (104.0434673 30.6553353, 104.0430271 30.656271), (104.0434673 30.6553353, 104.0439956 30.6542059, 104.0434673 30.6553353))"
591934886,unclassified,142.64,"LINESTRING (104.0429236 30.6569059, 104.0429719 30.6565413, 104.0430271 30.656271, 104.0429719 30.6565413, 104.0429236 30.6569059)"
890791645,primary,247.16700000000003,"LINESTRING (104.0385706 30.6576345, 104.0385487 30.6592109, 104.0385461 30.6594563, 104.0385865 30.65978, 104.0385894 30.6598553)"
